,Open,High,Low,Close,Adj Close,Volume
2022-03-24 14:00:00+00:00,42996.03125,43375.08984375,42950.44140625,43375.08984375,43375.08984375,1055944704
2022-03-24 15:00:00+00:00,43389.26171875,43931.45703125,43389.26171875,43894.34375,43894.34375,2187636736
2022-03-24 16:00:00+00:00,43928.1953125,44041.921875,43887.56640625,43991.21484375,43991.21484375,0
2022-03-24 17:00:00+00:00,43988.66796875,44131.85546875,43906.50390625,43906.50390625,43906.50390625,348293120
2022-03-24 18:00:00+00:00,43850.7578125,43977.7265625,43814.97265625,43977.7265625,43977.7265625,376203264
2022-03-24 19:00:00+00:00,43979.52734375,44049.44921875,43927.953125,43941.359375,43941.359375,17256448
2022-03-24 20:00:00+00:00,43940.05078125,43940.05078125,43852.8828125,43863.015625,43863.015625,7827456
2022-03-24 21:00:00+00:00,43873.16015625,44005.85546875,43827.46875,44002.0234375,44002.0234375,289028096
2022-03-24 22:00:00+00:00,44003.4453125,44029.578125,43954.98828125,43954.98828125,43954.98828125,77850624
2022-03-24 23:00:00+00:00,43954.828125,43979.87890625,43913.87109375,43957.609375,43957.609375,0
2022-03-25 00:00:00+00:00,43964.546875,43982.49609375,43875.0546875,43964.36328125,43964.36328125,0
2022-03-25 01:00:00+00:00,43969.24609375,44215.18359375,43945.71484375,44158.64453125,44158.64453125,595193856
2022-03-25 02:00:00+00:00,44152.375,44152.375,43903.41796875,43934.80078125,43934.80078125,335478784
2022-03-25 03:00:00+00:00,43936.67578125,43967.8828125,43891.01171875,43949.9375,43949.9375,111624192
2022-03-25 04:00:00+00:00,43960.27734375,44036.0234375,43946.7421875,44036.0234375,44036.0234375,18968576
2022-03-25 05:00:00+00:00,44042.12890625,44093.7734375,44018.37890625,44057.64453125,44057.64453125,164014080
2022-03-25 06:00:00+00:00,44063.35546875,44176.03515625,44030.79296875,44084.87890625,44084.87890625,0
2022-03-25 07:00:00+00:00,44101.28125,44174.3671875,43938.49609375,43949.03125,43949.03125,418269184
2022-03-25 08:00:00+00:00,43955.01171875,44010.96484375,43706.28515625,43973.58984375,43973.58984375,794374144
2022-03-25 09:00:00+00:00,43984.5,44139.44921875,43936.94140625,44139.44921875,44139.44921875,0
2022-03-25 10:00:00+00:00,44129.765625,44233.18359375,44118.92578125,44233.18359375,44233.18359375,64421888
2022-03-25 11:00:00+00:00,44226.375,44602.3046875,44210.84375,44602.3046875,44602.3046875,1636165632
2022-03-25 12:00:00+00:00,44598.54296875,44822.9296875,44511.0703125,44822.9296875,44822.9296875,621187072
2022-03-25 13:00:00+00:00,44822.0390625,44948.29296875,44749.8671875,44936.859375,44936.859375,686450688
2022-03-25 14:00:00+00:00,44950.16015625,44999.4921875,44817.51171875,44841.76171875,44841.76171875,0
2022-03-25 15:00:00+00:00,44845.765625,44845.765625,44248.2734375,44248.2734375,44248.2734375,0
2022-03-25 16:00:00+00:00,44312.734375,44503.13671875,44203.53125,44203.53125,44203.53125,0
2022-03-25 17:00:00+00:00,44191.0,44262.18359375,44110.9765625,44262.18359375,44262.18359375,165031936
2022-03-25 18:00:00+00:00,44310.37109375,44463.96484375,44310.37109375,44463.82421875,44463.82421875,0
2022-03-25 19:00:00+00:00,44461.6953125,44462.70703125,44216.6640625,44392.8125,44392.8125,0
2022-03-25 20:00:00+00:00,44419.10546875,44513.41015625,44381.6484375,44509.0625,44509.0625,252600320
2022-03-25 21:00:00+00:00,44539.15625,44539.15625,44404.7578125,44515.828125,44515.828125,30588928
2022-03-25 22:00:00+00:00,44508.3515625,44508.3515625,44340.390625,44349.0625,44349.0625,0
2022-03-25 23:00:00+00:00,44314.8828125,44383.2578125,44286.12890625,44368.33203125,44368.33203125,19036160
2022-03-26 00:00:00+00:00,44349.859375,44424.80859375,44220.79296875,44221.04296875,44221.04296875,0
2022-03-26 01:00:00+00:00,44217.0,44315.6796875,44166.2734375,44288.54296875,44288.54296875,0
2022-03-26 02:00:00+00:00,44283.203125,44359.06640625,44234.30078125,44257.609375,44257.609375,0
2022-03-26 03:00:00+00:00,44283.29296875,44401.3125,44283.29296875,44399.06640625,44399.06640625,12941312
2022-03-26 04:00:00+00:00,44406.125,44440.20703125,44391.57421875,44432.17578125,44432.17578125,0
2022-03-26 05:00:00+00:00,44430.86328125,44495.890625,44389.62890625,44488.51953125,44488.51953125,0
2022-03-26 06:00:00+00:00,44499.6015625,44525.19921875,44408.859375,44426.85546875,44426.85546875,0
2022-03-26 07:00:00+00:00,44439.77734375,44531.28125,44393.61328125,44531.28125,44531.28125,0
2022-03-26 08:00:00+00:00,44533.50390625,44533.50390625,44461.80859375,44496.7890625,44496.7890625,0
2022-03-26 09:00:00+00:00,44494.10546875,44503.78125,44450.41796875,44482.78515625,44482.78515625,0
2022-03-26 10:00:00+00:00,44487.23828125,44495.24609375,44409.25390625,44440.421875,44440.421875,0
2022-03-26 11:00:00+00:00,44443.49609375,44480.6015625,44398.9921875,44398.9921875,44398.9921875,0
2022-03-26 12:00:00+00:00,44368.37890625,44397.90234375,44271.71875,44361.23828125,44361.23828125,0
2022-03-26 13:00:00+00:00,44368.1328125,44380.625,44232.453125,44269.16015625,44269.16015625,0
2022-03-26 14:00:00+00:00,44267.42578125,44281.75,44194.04296875,44230.62109375,44230.62109375,0
2022-03-26 15:00:00+00:00,44233.0625,44307.21484375,44221.74609375,44242.546875,44242.546875,0
2022-03-26 16:00:00+00:00,44233.83203125,44294.89453125,44174.31640625,44294.89453125,44294.89453125,0
2022-03-26 17:00:00+00:00,44296.61328125,44408.50390625,44296.61328125,44386.9609375,44386.9609375,0
2022-03-26 18:00:00+00:00,44386.203125,44440.9375,44359.77734375,44440.9375,44440.9375,0
2022-03-26 19:00:00+00:00,44444.77734375,44454.5625,44338.5859375,44359.55078125,44359.55078125,0
2022-03-26 20:00:00+00:00,44357.50390625,44735.99609375,44357.50390625,44601.51953125,44601.51953125,724149248
2022-03-26 21:00:00+00:00,44598.8515625,44598.8515625,44349.8203125,44423.75390625,44423.75390625,161891328
2022-03-26 22:00:00+00:00,44438.3671875,44489.84375,44412.5859375,44412.5859375,44412.5859375,19427328
2022-03-26 23:00:00+00:00,44411.75,44529.70703125,44406.23046875,44491.90625,44491.90625,14786560
2022-03-27 00:00:00+00:00,44505.35546875,44695.625,44505.35546875,44695.625,44695.625,350253056
2022-03-27 01:00:00+00:00,44695.9765625,44721.0234375,44632.74609375,44688.546875,44688.546875,100046848
2022-03-27 02:00:00+00:00,44690.79296875,44864.40625,44688.91015625,44704.80859375,44704.80859375,404682752
2022-03-27 03:00:00+00:00,44708.94140625,44714.5546875,44642.0078125,44700.02734375,44700.02734375,0
2022-03-27 04:00:00+00:00,44701.734375,44749.515625,44598.1171875,44628.80859375,44628.80859375,125876224
2022-03-27 05:00:00+00:00,44622.2890625,44695.94921875,44613.9453125,44656.3359375,44656.3359375,0
2022-03-27 06:00:00+00:00,44651.28515625,44714.7578125,44647.06640625,44660.77734375,44660.77734375,80535552
2022-03-27 07:00:00+00:00,44664.5078125,44720.265625,44659.08984375,44720.265625,44720.265625,0
2022-03-27 08:00:00+00:00,44721.26171875,44738.15625,44628.07421875,44628.07421875,44628.07421875,0
2022-03-27 09:00:00+00:00,44624.4453125,44688.96484375,44589.58984375,44601.23828125,44601.23828125,39112704
2022-03-27 10:00:00+00:00,44581.37890625,44618.73046875,44565.75390625,44565.75390625,44565.75390625,163624960
2022-03-27 11:00:00+00:00,44554.03515625,44602.65234375,44543.74609375,44551.10546875,44551.10546875,67303424
2022-03-27 12:00:00+00:00,44554.046875,44590.79296875,44449.078125,44449.078125,44449.078125,47910912
2022-03-27 13:00:00+00:00,44439.578125,44609.5625,44437.29296875,44609.5625,44609.5625,536725504
2022-03-27 14:00:00+00:00,44606.4375,44711.1796875,44605.87109375,44656.88671875,44656.88671875,260605952
2022-03-27 15:00:00+00:00,44647.75390625,44842.76171875,44560.6796875,44836.5859375,44836.5859375,853805056
2022-03-27 16:00:00+00:00,44837.32421875,44907.46875,44772.29296875,44897.609375,44897.609375,0
2022-03-27 17:00:00+00:00,44899.8984375,44930.484375,44808.78515625,44905.53125,44905.53125,128989184
2022-03-27 18:00:00+00:00,44903.5234375,44930.99609375,44863.1171875,44873.51171875,44873.51171875,170551296
2022-03-27 19:00:00+00:00,44869.73046875,44875.6796875,44826.87890625,44835.3203125,44835.3203125,0
2022-03-27 20:00:00+00:00,44838.890625,46099.5078125,44773.5703125,46079.1171875,46079.1171875,3808917504
2022-03-27 21:00:00+00:00,46070.28125,46571.3671875,45958.7421875,46555.03125,46555.03125,2146236416
2022-03-27 22:00:00+00:00,46516.76953125,46769.203125,46393.390625,46699.75,46699.75,2233051136
2022-03-27 23:00:00+00:00,46682.40625,46827.546875,46575.45703125,46822.80859375,46822.80859375,726233088
2022-03-28 00:00:00+00:00,46821.8515625,47302.20703125,46690.203125,46881.01171875,46881.01171875,2087970816
2022-03-28 01:00:00+00:00,46906.1875,46968.5234375,46740.1796875,46807.9609375,46807.9609375,467427328
2022-03-28 02:00:00+00:00,46812.05859375,46911.3359375,46801.91015625,46911.3359375,46911.3359375,0
2022-03-28 03:00:00+00:00,46910.859375,47005.8203125,46871.09765625,46993.6796875,46993.6796875,488812544
2022-03-28 04:00:00+00:00,46998.81640625,47079.58203125,46905.71875,47079.58203125,47079.58203125,238878720
2022-03-28 05:00:00+00:00,47081.73828125,47227.91796875,47081.73828125,47112.203125,47112.203125,1789976576
2022-03-28 06:00:00+00:00,47109.88671875,47109.88671875,46788.48046875,46902.2109375,46902.2109375,1055225856
2022-03-28 07:00:00+00:00,46898.48046875,47000.92578125,46898.48046875,46967.4765625,46967.4765625,841578496
2022-03-28 08:00:00+00:00,46969.24609375,47010.41796875,46881.14453125,47010.41796875,47010.41796875,506028032
2022-03-28 09:00:00+00:00,47008.53125,47111.58984375,46997.3203125,47080.2421875,47080.2421875,709226496
2022-03-28 10:00:00+00:00,47090.97265625,47216.1796875,47090.97265625,47163.08203125,47163.08203125,480092160
2022-03-28 11:00:00+00:00,47167.546875,47305.25390625,47136.59375,47216.95703125,47216.95703125,703889408
2022-03-28 12:00:00+00:00,47219.84765625,47317.0859375,47155.984375,47218.50390625,47218.50390625,341020672
2022-03-28 13:00:00+00:00,47217.88671875,47649.015625,47202.19921875,47649.015625,47649.015625,1576275968
2022-03-28 14:00:00+00:00,47649.0078125,47656.0546875,47434.26171875,47591.76953125,47591.76953125,1271021568
2022-03-28 15:00:00+00:00,47586.3671875,47710.15234375,47461.51953125,47461.51953125,47461.51953125,1020981248
2022-03-28 16:00:00+00:00,47456.45703125,47503.4765625,47405.8125,47498.64453125,47498.64453125,0
2022-03-28 17:00:00+00:00,47489.5,47616.66796875,47371.05859375,47589.7265625,47589.7265625,434257920
2022-03-28 18:00:00+00:00,47595.32421875,47958.8828125,47573.03515625,47912.51953125,47912.51953125,1312534528
2022-03-28 19:00:00+00:00,47885.76171875,48086.8359375,47831.0078125,47891.28125,47891.28125,1321713664
2022-03-28 20:00:00+00:00,47920.23828125,47963.5,47816.3046875,47938.140625,47938.140625,0
2022-03-28 21:00:00+00:00,47937.1484375,48033.40625,47504.01171875,47603.94921875,47603.94921875,0
2022-03-28 22:00:00+00:00,47607.8984375,47718.6328125,47566.67578125,47609.55078125,47609.55078125,0
2022-03-28 23:00:00+00:00,47568.671875,47573.4453125,47063.11328125,47074.42578125,47074.42578125,263389184
2022-03-29 00:00:00+00:00,47149.80859375,47454.52734375,47147.765625,47415.1875,47415.1875,0
2022-03-29 01:00:00+00:00,47412.6484375,47563.640625,47372.421875,47536.21875,47536.21875,0
2022-03-29 02:00:00+00:00,47533.19921875,47576.16796875,47429.625,47442.46875,47442.46875,305225728
2022-03-29 03:00:00+00:00,47420.7890625,47420.7890625,47333.546875,47343.1171875,47343.1171875,0
2022-03-29 04:00:00+00:00,47340.09375,47574.25,47329.27734375,47573.83203125,47573.83203125,346783744
2022-03-29 05:00:00+00:00,47576.49609375,47648.87109375,47534.9765625,47639.33203125,47639.33203125,0
2022-03-29 06:00:00+00:00,47637.1953125,47674.7890625,47555.91796875,47556.16796875,47556.16796875,0
2022-03-29 07:00:00+00:00,47559.5078125,47569.93359375,47404.03125,47404.03125,47404.03125,0
2022-03-29 08:00:00+00:00,47402.7578125,47599.89453125,47393.6953125,47554.32421875,47554.32421875,108339200
2022-03-29 09:00:00+00:00,47547.70703125,47705.171875,47547.70703125,47587.015625,47587.015625,142348288
2022-03-29 10:00:00+00:00,47602.94921875,47602.94921875,47502.48828125,47591.0703125,47591.0703125,0
2022-03-29 11:00:00+00:00,47600.296875,47889.6953125,47600.296875,47862.05859375,47862.05859375,537247744
